ID,Project,Requirement_Text,NFR_Class,Domain,Source_URL
36,HAPI FHIR,The HAPI FHIR system shall maintain an availability of 99.99% over a 10 years period.,RE,Healthcare,https://github.com/example/HAPIFHIR
37,Prometheus,The Prometheus system shall run on devices with as little as 10MB of RAM.,PO,Cloud,https://github.com/example/Prometheus
38,Istio,The UI Frontend shall sanitize all inputs to prevent injection attacks covering NIST 800-53.,SE,Cloud,https://github.com/example/Istio
39,Apache Fineract,The Database Cluster shall not exceed 45 watts of idle power in idle state.,EN,FinTech,https://github.com/example/ApacheFineract
40,ThingsBoard,The Database Cluster shall enter sleep mode after 30 seconds of inactivity.,EN,IoT,https://github.com/example/ThingsBoard
41,Home Assistant,The user interface shall be compliant with HIPAA accessibility standards.,US,IoT,https://github.com/example/HomeAssistant
42,Signal,The Authentication Service shall respond to user requests within 5 seconds under normal load.,PE,Security,https://github.com/example/Signal
43,HAPI FHIR,The application must be deployable via Docker containers of size less than 500GB.,PO,Healthcare,https://github.com/example/HAPIFHIR
44,OpenEMS,The OpenEMS system shall maintain an availability of 99.99% over a 24 hours period.,RE,Energy,https://github.com/example/OpenEMS
45,Apache Fineract,The Apache Fineract system shall run on devices with as little as 1TB of RAM.,PO,FinTech,https://github.com/example/ApacheFineract
46,Vault,The Data Lake shall respond to user requests within 500ms under normal load.,PE,Security,https://github.com/example/Vault
47,Home Assistant,The Home Assistant system shall retain backups for at least 1 year.,RE,IoT,https://github.com/example/HomeAssistant
48,GridLAB-D,Modules shall be decoupled to ensure changes in Database Cluster do not affect others.,MN,Energy,https://github.com/example/GridLAB-D
49,Mifos X,The Mifos X system shall reduce power consumption by 0.01% during off-peak hours.,EN,FinTech,https://github.com/example/MifosX
50,OpenEMR,The OpenEMR system shall maintain an availability of 0.01% over a 10 years period.,RE,Healthcare,https://github.com/example/OpenEMR
51,DCM4CHEE,All data at rest shall be encrypted using ChaCha20.,SE,Healthcare,https://github.com/example/DCM4CHEE
52,Prometheus,Data integrity shall be verified using Argon2 checksums with 99.999% confidence.,RE,Cloud,https://github.com/example/Prometheus
53,Home Assistant,The Neural Network Engine shall sanitize all inputs to prevent injection attacks covering WCAG 2.1.,SE,IoT,https://github.com/example/HomeAssistant
54,Signal,The application shall render charts within 2 seconds of data receipt.,PE,Security,https://github.com/example/Signal
55,GridLAB-D,Database queries shall expire after 30 seconds to prevent resource exhaustion.,PE,Energy,https://github.com/example/GridLAB-D
56,Apache Fineract,Modules shall be decoupled to ensure changes in Payment Processor do not affect others.,MN,FinTech,https://github.com/example/ApacheFineract
57,GridLAB-D,The API Gateway shall respond to user requests within 500ms under normal load.,PE,Energy,https://github.com/example/GridLAB-D
58,GridLAB-D,Database queries shall expire after 100ms to prevent resource exhaustion.,PE,Energy,https://github.com/example/GridLAB-D
59,Eclipse Kura,Database queries shall expire after 10 microseconds to prevent resource exhaustion.,PE,IoT,https://github.com/example/EclipseKura
60,GridLAB-D,All data at rest shall be encrypted using Argon2.,SE,Energy,https://github.com/example/GridLAB-D
61,Vault,Data integrity shall be verified using Argon2 checksums with 99.99% confidence.,RE,Security,https://github.com/example/Vault
62,Vault,The Vault system shall retain backups for at least 1 month.,RE,Security,https://github.com/example/Vault
63,Prometheus,Data integrity shall be verified using AES-256 checksums with 99.9% confidence.,RE,Cloud,https://github.com/example/Prometheus
64,Prometheus,The audit logs shall be retained for 72 hours per OWASP Top 10 compliance.,SE,Cloud,https://github.com/example/Prometheus
65,Signal,The Signal system shall reduce idle power by 99% during off-peak hours.,EN,Security,https://github.com/example/Signal
66,HAPI FHIR,The HAPI FHIR system shall process 10 Mbps with a latency of less than 1 minute.,PE,Healthcare,https://github.com/example/HAPIFHIR
67,Eclipse Kura,Carbon intensity tracking shall limit operations when grid carbon exceeds 100 g/kWh.,EN,IoT,https://github.com/example/EclipseKura
68,HAPI FHIR,The HAPI FHIR system shall retain backups for at least 30 days.,RE,Healthcare,https://github.com/example/HAPIFHIR
69,OpenEMS,The OpenEMS system shall generate encrypt logs no larger than 4KB per day.,MN,Energy,https://github.com/example/OpenEMS
70,Prometheus,The Neural Network Engine shall recover from a crash within 5 seconds.,RE,Cloud,https://github.com/example/Prometheus
71,GridLAB-D,Database queries shall expire after 5 minutes to prevent resource exhaustion.,PE,Energy,https://github.com/example/GridLAB-D
72,HAPI FHIR,The HAPI FHIR system shall process 100 requests/second with a latency of less than 10 microseconds.,PE,Healthcare,https://github.com/example/HAPIFHIR
73,Mifos X,The Authentication Service shall enter sleep mode after 2 seconds of inactivity.,EN,FinTech,https://github.com/example/MifosX
74,Prometheus,The holistic learning curve shall verify that users can perform basic tasks within 5 minutes.,US,Cloud,https://github.com/example/Prometheus
75,OpenEMS,The Authentication Service shall sanitize all inputs to prevent injection attacks covering ISO 27001.,SE,Energy,https://github.com/example/OpenEMS
76,Istio,The UI Frontend shall respond to user requests within 1 minute under normal load.,PE,Cloud,https://github.com/example/Istio
77,Signal,The Signal system shall lock user accounts after 3 failed attempts for 1 minute.,SE,Security,https://github.com/example/Signal
78,Vault,The Vault system shall maintain an availability of 95% over a 30 days period.,RE,Security,https://github.com/example/Vault
79,OpenEMS,The OpenEMS system shall process 10 Mbps with a latency of less than 15 minutes.,PE,Energy,https://github.com/example/OpenEMS
80,Open Bank Project,The Open Bank Project system shall reduce power consumption by 90% during off-peak hours.,EN,FinTech,https://github.com/example/OpenBankProject
81,Open Bank Project,Modules shall be decoupled to ensure changes in Neural Network Engine do not affect others.,MN,FinTech,https://github.com/example/OpenBankProject
82,DCM4CHEE,The DCM4CHEE system shall process 100 requests/second with a latency of less than 10 microseconds.,PE,Healthcare,https://github.com/example/DCM4CHEE
83,DCM4CHEE,Database queries shall expire after 15 minutes to prevent resource exhaustion.,PE,Healthcare,https://github.com/example/DCM4CHEE
84,Mifos X,The Payment Processor shall not exceed 5 watts of carbon footprint in idle state.,EN,FinTech,https://github.com/example/MifosX
85,GridLAB-D,Modules shall be decoupled to ensure changes in API Gateway do not affect others.,MN,Energy,https://github.com/example/GridLAB-D
86,Mifos X,The user interface shall be compliant with IEEE 754 accessibility standards.,US,FinTech,https://github.com/example/MifosX
87,Eclipse Kura,All data at rest shall be encrypted using RSA-2048.,SE,IoT,https://github.com/example/EclipseKura
88,Eclipse Kura,The Eclipse Kura system shall retain backups for at least 90 days.,RE,IoT,https://github.com/example/EclipseKura
89,Istio,The Istio system shall maintain an availability of 95% over a 10 years period.,RE,Cloud,https://github.com/example/Istio
90,Signal,Communications between Database Cluster and server shall use Bcrypt.,SE,Security,https://github.com/example/Signal
91,Apache Fineract,Error messages shall be displayed within 15 minutes of the fault.,US,FinTech,https://github.com/example/ApacheFineract
92,HAPI FHIR,Database queries shall expire after 10 microseconds to prevent resource exhaustion.,PE,Healthcare,https://github.com/example/HAPIFHIR
93,OpenEMS,The code cyclomatic complexity shall not exceed 10 per function.,MN,Energy,https://github.com/example/OpenEMS
94,ThingsBoard,The ThingsBoard system shall maintain an availability of 99.9% over a 24 hours period.,RE,IoT,https://github.com/example/ThingsBoard
95,GridLAB-D,The audit logs shall be retained for 90 days per HIPAA compliance.,SE,Energy,https://github.com/example/GridLAB-D
96,Signal,The Signal system shall generate authorize logs no larger than 500GB per day.,MN,Security,https://github.com/example/Signal
97,Apache Fineract,The UI Frontend shall not exceed 5 watts of idle power in idle state.,EN,FinTech,https://github.com/example/ApacheFineract
98,OpenEMR,All data at rest shall be encrypted using AES-256.,SE,Healthcare,https://github.com/example/OpenEMR
99,HAPI FHIR,The HAPI FHIR system shall reduce CPU thermal design power by 99.99% during off-peak hours.,EN,Healthcare,https://github.com/example/HAPIFHIR
100,Home Assistant,The Home Assistant system shall run on devices with as little as 1GB of RAM.,PO,IoT,https://github.com/example/HomeAssistant
101,Eclipse Kura,Data integrity shall be verified using ChaCha20 checksums with 95% confidence.,RE,IoT,https://github.com/example/EclipseKura
102,Vault,All data at rest shall be encrypted using Bcrypt.,SE,Security,https://github.com/example/Vault
103,Open Bank Project,Database queries shall expire after 1 minute to prevent resource exhaustion.,PE,FinTech,https://github.com/example/OpenBankProject
104,ThingsBoard,The ThingsBoard system shall process 1 million events/hour with a latency of less than 100ms.,PE,IoT,https://github.com/example/ThingsBoard
105,OpenEMR,The application must be deployable via Docker containers of size less than 500GB.,PO,Healthcare,https://github.com/example/OpenEMR
106,DCM4CHEE,The DCM4CHEE system shall reduce watthour usage by 0.01% during off-peak hours.,EN,Healthcare,https://github.com/example/DCM4CHEE
107,Prometheus,The Prometheus system shall generate audit logs no larger than 1MB per day.,MN,Cloud,https://github.com/example/Prometheus
108,Mifos X,Battery life shall extend to 7 years under standard operating conditions.,EN,FinTech,https://github.com/example/MifosX
109,Open Bank Project,The audit logs shall be retained for 1 week per IEEE 754 compliance.,SE,FinTech,https://github.com/example/OpenBankProject
110,OpenEMR,The user interface shall be compliant with HIPAA accessibility standards.,US,Healthcare,https://github.com/example/OpenEMR
111,Open Bank Project,The Open Bank Project system shall lock user accounts after 3 failed attempts for 30 seconds.,SE,FinTech,https://github.com/example/OpenBankProject
112,Open Bank Project,The audit logs shall be retained for 30 days per PCI-DSS compliance.,SE,FinTech,https://github.com/example/OpenBankProject
113,HAPI FHIR,The audit logs shall be retained for 6 months per OWASP Top 10 compliance.,SE,Healthcare,https://github.com/example/HAPIFHIR
114,OpenEMR,The OpenEMR system shall retain backups for at least 7 years.,RE,Healthcare,https://github.com/example/OpenEMR
115,DCM4CHEE,The user interface shall be compliant with ISO 27001 accessibility standards.,US,Healthcare,https://github.com/example/DCM4CHEE
116,DCM4CHEE,The DCM4CHEE system shall reduce carbon footprint by 90% during off-peak hours.,EN,Healthcare,https://github.com/example/DCM4CHEE
117,GridLAB-D,All data at rest shall be encrypted using RSA-2048.,SE,Energy,https://github.com/example/GridLAB-D
118,HAPI FHIR,The Neural Network Engine shall sanitize all inputs to prevent injection attacks covering ISO 27001.,SE,Healthcare,https://github.com/example/HAPIFHIR
119,GridLAB-D,Data integrity shall be verified using SHA-256 checksums with 0.01% confidence.,RE,Energy,https://github.com/example/GridLAB-D
120,Home Assistant,Carbon intensity tracking shall limit operations when grid carbon exceeds 100 g/kWh.,EN,IoT,https://github.com/example/HomeAssistant
121,GridLAB-D,The GridLAB-D system shall retain backups for at least 1 year.,RE,Energy,https://github.com/example/GridLAB-D
122,OpenEMS,The UI Frontend shall sanitize all inputs to prevent injection attacks covering WCAG 2.1.,SE,Energy,https://github.com/example/OpenEMS
123,Mifos X,The Data Lake shall enter sleep mode after 5 seconds of inactivity.,EN,FinTech,https://github.com/example/MifosX
124,Istio,The Data Lake shall not exceed 5 watts of power consumption in idle state.,EN,Cloud,https://github.com/example/Istio
125,ThingsBoard,The UI Frontend shall recover from a crash within 15 minutes.,RE,IoT,https://github.com/example/ThingsBoard
126,Open Bank Project,The application shall render charts within 15 minutes of data receipt.,PE,FinTech,https://github.com/example/OpenBankProject
127,Prometheus,The audit logs shall be retained for infinity per WCAG 2.1 compliance.,SE,Cloud,https://github.com/example/Prometheus
128,Prometheus,The Prometheus system shall run on devices with as little as 128 bits of RAM.,PO,Cloud,https://github.com/example/Prometheus
129,HAPI FHIR,The UI Frontend shall sanitize all inputs to prevent injection attacks covering PCI-DSS.,SE,Healthcare,https://github.com/example/HAPIFHIR
130,Open Bank Project,Battery life shall extend to 72 hours under standard operating conditions.,EN,FinTech,https://github.com/example/OpenBankProject
131,Apache Fineract,The code cyclomatic complexity shall not exceed 10 per function.,MN,FinTech,https://github.com/example/ApacheFineract
132,OpenEMS,The audit logs shall be retained for 72 hours per GDPR compliance.,SE,Energy,https://github.com/example/OpenEMS
133,Eclipse Kura,The Eclipse Kura system shall run on devices with as little as 1TB of RAM.,PO,IoT,https://github.com/example/EclipseKura
134,HAPI FHIR,The HAPI FHIR system shall reduce watthour usage by 95% during off-peak hours.,EN,Healthcare,https://github.com/example/HAPIFHIR
135,Home Assistant,The IoT Sensor Hub shall not exceed 1.2 kWh of CPU thermal design power in idle state.,EN,IoT,https://github.com/example/HomeAssistant
136,Home Assistant,The Home Assistant system shall generate compress logs no larger than 100MB per day.,MN,IoT,https://github.com/example/HomeAssistant
137,Prometheus,The IoT Sensor Hub shall not exceed 10% of idle power in idle state.,EN,Cloud,https://github.com/example/Prometheus
138,DCM4CHEE,The DCM4CHEE system shall run on devices with as little as 256 bits of RAM.,PO,Healthcare,https://github.com/example/DCM4CHEE
139,Home Assistant,The API Gateway shall sanitize all inputs to prevent injection attacks covering IEEE 754.,SE,IoT,https://github.com/example/HomeAssistant
140,Home Assistant,The Home Assistant system shall lock user accounts after 3 failed attempts for 2 seconds.,SE,IoT,https://github.com/example/HomeAssistant
141,Prometheus,Carbon intensity tracking shall limit operations when grid carbon exceeds 100 g/kWh.,EN,Cloud,https://github.com/example/Prometheus
142,Eclipse Kura,Error messages shall be displayed within 5 minutes of the fault.,US,IoT,https://github.com/example/EclipseKura
143,Signal,The Payment Processor shall not exceed 1.2 kWh of watthour usage in idle state.,EN,Security,https://github.com/example/Signal
144,DCM4CHEE,The Database Cluster shall not exceed 45 watts of CPU thermal design power in idle state.,EN,Healthcare,https://github.com/example/DCM4CHEE
145,Eclipse Kura,Database queries shall expire after 2 seconds to prevent resource exhaustion.,PE,IoT,https://github.com/example/EclipseKura
146,Home Assistant,The Home Assistant system shall retain backups for at least 30 days.,RE,IoT,https://github.com/example/HomeAssistant
147,OpenEMR,The Payment Processor shall respond to user requests within 100ms under normal load.,PE,Healthcare,https://github.com/example/OpenEMR
148,Vault,The Vault system shall run on devices with as little as 10MB of RAM.,PO,Security,https://github.com/example/Vault
149,Signal,The user interface shall be compliant with PCI-DSS accessibility standards.,US,Security,https://github.com/example/Signal
150,Istio,The holistic learning curve shall verify that users can perform basic tasks within 1 minute.,US,Cloud,https://github.com/example/Istio
151,GridLAB-D,The GridLAB-D system shall maintain an availability of 99% over a 10 years period.,RE,Energy,https://github.com/example/GridLAB-D
152,HAPI FHIR,The Payment Processor shall enter sleep mode after 1 minute of inactivity.,EN,Healthcare,https://github.com/example/HAPIFHIR
153,DCM4CHEE,Carbon intensity tracking shall limit operations when grid carbon exceeds 100 g/kWh.,EN,Healthcare,https://github.com/example/DCM4CHEE
154,Signal,"The Signal system shall process 10,000 transactions/minute with a latency of less than 10 microseconds.",PE,Security,https://github.com/example/Signal
155,HAPI FHIR,Error messages shall be displayed within 1 second of the fault.,US,Healthcare,https://github.com/example/HAPIFHIR
156,Signal,The Data Lake shall not exceed 45 watts of carbon footprint in idle state.,EN,Security,https://github.com/example/Signal
157,Prometheus,The Prometheus system shall generate encrypt logs no larger than 4KB per day.,MN,Cloud,https://github.com/example/Prometheus
158,Vault,Error messages shall be displayed within 5 seconds of the fault.,US,Security,https://github.com/example/Vault
159,GridLAB-D,The application must be deployable via Docker containers of size less than 500GB.,PO,Energy,https://github.com/example/GridLAB-D
160,Vault,The application must be deployable via Docker containers of size less than 1GB.,PO,Security,https://github.com/example/Vault
161,ThingsBoard,Error messages shall be displayed within 500ms of the fault.,US,IoT,https://github.com/example/ThingsBoard
162,Home Assistant,The Home Assistant system shall retain backups for at least 90 days.,RE,IoT,https://github.com/example/HomeAssistant
163,Eclipse Kura,Communications between Database Cluster and server shall use ChaCha20.,SE,IoT,https://github.com/example/EclipseKura
164,OpenEMR,The OpenEMR system shall maintain an availability of 0.1% over a 30 days period.,RE,Healthcare,https://github.com/example/OpenEMR
165,OpenEMR,Battery life shall extend to 30 days under standard operating conditions.,EN,Healthcare,https://github.com/example/OpenEMR
166,Mifos X,The user interface shall be compliant with OWASP Top 10 accessibility standards.,US,FinTech,https://github.com/example/MifosX
167,Eclipse Kura,The Eclipse Kura system shall generate anonymize logs no larger than 4KB per day.,MN,IoT,https://github.com/example/EclipseKura
168,Open Bank Project,Data integrity shall be verified using TLS 1.3 checksums with 0.1% confidence.,RE,FinTech,https://github.com/example/OpenBankProject
169,Apache Fineract,The IoT Sensor Hub shall enter sleep mode after 15 minutes of inactivity.,EN,FinTech,https://github.com/example/ApacheFineract
170,Vault,The UI Frontend shall respond to user requests within 30 seconds under normal load.,PE,Security,https://github.com/example/Vault
171,Istio,The user interface shall be compliant with IEEE 754 accessibility standards.,US,Cloud,https://github.com/example/Istio
172,GridLAB-D,The holistic learning curve shall verify that users can perform basic tasks within 2 seconds.,US,Energy,https://github.com/example/GridLAB-D
173,ThingsBoard,The user interface shall be compliant with NIST 800-53 accessibility standards.,US,IoT,https://github.com/example/ThingsBoard
174,Apache Fineract,The IoT Sensor Hub shall sanitize all inputs to prevent injection attacks covering WCAG 2.1.,SE,FinTech,https://github.com/example/ApacheFineract
175,DCM4CHEE,Error messages shall be displayed within 1 second of the fault.,US,Healthcare,https://github.com/example/DCM4CHEE
176,Apache Fineract,The Database Cluster shall sanitize all inputs to prevent injection attacks covering ISO 27001.,SE,FinTech,https://github.com/example/ApacheFineract
177,Prometheus,The Prometheus system shall maintain an availability of 99.99% over a 1 month period.,RE,Cloud,https://github.com/example/Prometheus
178,Open Bank Project,All data at rest shall be encrypted using TLS 1.3.,SE,FinTech,https://github.com/example/OpenBankProject
179,Eclipse Kura,Data integrity shall be verified using SHA-256 checksums with 0.01% confidence.,RE,IoT,https://github.com/example/EclipseKura
180,Eclipse Kura,The UI Frontend shall enter sleep mode after 1 minute of inactivity.,EN,IoT,https://github.com/example/EclipseKura
181,Prometheus,All data at rest shall be encrypted using Bcrypt.,SE,Cloud,https://github.com/example/Prometheus
182,Mifos X,The holistic learning curve shall verify that users can perform basic tasks within 100ms.,US,FinTech,https://github.com/example/MifosX
183,Open Bank Project,The audit logs shall be retained for 30 days per GDPR compliance.,SE,FinTech,https://github.com/example/OpenBankProject
184,Open Bank Project,The Payment Processor shall enter sleep mode after 100ms of inactivity.,EN,FinTech,https://github.com/example/OpenBankProject
185,OpenEMS,The Authentication Service shall respond to user requests within 15 minutes under normal load.,PE,Energy,https://github.com/example/OpenEMS
186,GridLAB-D,The GridLAB-D system shall maintain an availability of 99.9% over a 1 month period.,RE,Energy,https://github.com/example/GridLAB-D
187,OpenEMS,Error messages shall be displayed within 5 seconds of the fault.,US,Energy,https://github.com/example/OpenEMS
188,Kubernetes,The Database Cluster shall recover from a crash within 15 minutes.,RE,Cloud,https://github.com/example/Kubernetes
189,DCM4CHEE,The DCM4CHEE system shall lock user accounts after 3 failed attempts for 500ms.,SE,Healthcare,https://github.com/example/DCM4CHEE
190,Apache Fineract,The Apache Fineract system shall lock user accounts after 3 failed attempts for 15 minutes.,SE,FinTech,https://github.com/example/ApacheFineract
191,Istio,The Database Cluster shall sanitize all inputs to prevent injection attacks covering PCI-DSS.,SE,Cloud,https://github.com/example/Istio
192,GridLAB-D,The application shall render charts within 5 seconds of data receipt.,PE,Energy,https://github.com/example/GridLAB-D
193,HAPI FHIR,Carbon intensity tracking shall limit operations when grid carbon exceeds 100 g/kWh.,EN,Healthcare,https://github.com/example/HAPIFHIR
194,Open Bank Project,The audit logs shall be retained for 6 months per OWASP Top 10 compliance.,SE,FinTech,https://github.com/example/OpenBankProject
195,Kubernetes,Database queries shall expire after 10 microseconds to prevent resource exhaustion.,PE,Cloud,https://github.com/example/Kubernetes
196,Eclipse Kura,The Neural Network Engine shall respond to user requests within 1 minute under normal load.,PE,IoT,https://github.com/example/EclipseKura
197,HAPI FHIR,The user interface shall be compliant with WCAG 2.1 accessibility standards.,US,Healthcare,https://github.com/example/HAPIFHIR
198,Signal,Battery life shall extend to 7 years under standard operating conditions.,EN,Security,https://github.com/example/Signal
199,Prometheus,The UI Frontend shall recover from a crash within 10 microseconds.,RE,Cloud,https://github.com/example/Prometheus
200,Vault,Error messages shall be displayed within 1 minute of the fault.,US,Security,https://github.com/example/Vault
201,ThingsBoard,Communications between Payment Processor and server shall use Bcrypt.,SE,IoT,https://github.com/example/ThingsBoard
202,Mifos X,All data at rest shall be encrypted using TLS 1.3.,SE,FinTech,https://github.com/example/MifosX
203,GridLAB-D,The IoT Sensor Hub shall enter sleep mode after 5 minutes of inactivity.,EN,Energy,https://github.com/example/GridLAB-D
204,Eclipse Kura,The Data Lake shall respond to user requests within 5 minutes under normal load.,PE,IoT,https://github.com/example/EclipseKura
205,DCM4CHEE,The holistic learning curve shall verify that users can perform basic tasks within 2 seconds.,US,Healthcare,https://github.com/example/DCM4CHEE
206,Kubernetes,Carbon intensity tracking shall limit operations when grid carbon exceeds 100 g/kWh.,EN,Cloud,https://github.com/example/Kubernetes
207,ThingsBoard,Communications between UI Frontend and server shall use SHA-256.,SE,IoT,https://github.com/example/ThingsBoard
208,Apache Fineract,The code cyclomatic complexity shall not exceed 10 per function.,MN,FinTech,https://github.com/example/ApacheFineract
209,OpenEMS,Database queries shall expire after 2 seconds to prevent resource exhaustion.,PE,Energy,https://github.com/example/OpenEMS
210,Prometheus,The holistic learning curve shall verify that users can perform basic tasks within 10 microseconds.,US,Cloud,https://github.com/example/Prometheus
211,GridLAB-D,Battery life shall extend to 1 month under standard operating conditions.,EN,Energy,https://github.com/example/GridLAB-D
212,Vault,Error messages shall be displayed within 100ms of the fault.,US,Security,https://github.com/example/Vault
213,Mifos X,The Mifos X system shall lock user accounts after 3 failed attempts for 2 seconds.,SE,FinTech,https://github.com/example/MifosX
214,Istio,Battery life shall extend to 30 days under standard operating conditions.,EN,Cloud,https://github.com/example/Istio
215,Home Assistant,The Data Lake shall not exceed 45 watts of carbon footprint in idle state.,EN,IoT,https://github.com/example/HomeAssistant
216,Kubernetes,The user interface shall be compliant with IEEE 754 accessibility standards.,US,Cloud,https://github.com/example/Kubernetes
217,Eclipse Kura,The audit logs shall be retained for infinity per NIST 800-53 compliance.,SE,IoT,https://github.com/example/EclipseKura
218,ThingsBoard,The ThingsBoard system shall lock user accounts after 3 failed attempts for 5 seconds.,SE,IoT,https://github.com/example/ThingsBoard
219,GridLAB-D,The application shall render charts within 2 seconds of data receipt.,PE,Energy,https://github.com/example/GridLAB-D
220,Eclipse Kura,The application shall render charts within 10 microseconds of data receipt.,PE,IoT,https://github.com/example/EclipseKura
221,DCM4CHEE,Data integrity shall be verified using Argon2 checksums with 99.999% confidence.,RE,Healthcare,https://github.com/example/DCM4CHEE
222,Vault,All data at rest shall be encrypted using Argon2.,SE,Security,https://github.com/example/Vault
223,Home Assistant,The application shall render charts within 2 seconds of data receipt.,PE,IoT,https://github.com/example/HomeAssistant
224,Home Assistant,The Home Assistant system shall retain backups for at least 24 hours.,RE,IoT,https://github.com/example/HomeAssistant
225,DCM4CHEE,The DCM4CHEE system shall lock user accounts after 3 failed attempts for 100ms.,SE,Healthcare,https://github.com/example/DCM4CHEE
226,OpenEMR,All data at rest shall be encrypted using AES-256.,SE,Healthcare,https://github.com/example/OpenEMR
227,Open Bank Project,The Open Bank Project system shall generate encrypt logs no larger than 500GB per day.,MN,FinTech,https://github.com/example/OpenBankProject
228,Vault,The application shall render charts within 100ms of data receipt.,PE,Security,https://github.com/example/Vault
229,Home Assistant,The holistic learning curve shall verify that users can perform basic tasks within 5 minutes.,US,IoT,https://github.com/example/HomeAssistant
230,Signal,Communications between API Gateway and server shall use RSA-2048.,SE,Security,https://github.com/example/Signal
231,ThingsBoard,The holistic learning curve shall verify that users can perform basic tasks within 500ms.,US,IoT,https://github.com/example/ThingsBoard
232,Mifos X,The Database Cluster shall sanitize all inputs to prevent injection attacks covering NIST 800-53.,SE,FinTech,https://github.com/example/MifosX
233,Open Bank Project,The Open Bank Project system shall maintain an availability of 95% over a 7 years period.,RE,FinTech,https://github.com/example/OpenBankProject
