S.No,File,Requirement,Type
363,6,The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems\92 data shall remain 100% uncorrupted each time malicious data is input into the product.,SE
364,6,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,FT
365,6,The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.,SE
366,6,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,SC
367,6,The product shall be able to display calendar dates and times according to the user\92s locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,US
368,6,The product must be developed with the J2SE/J2EE programming language libraries,O
369,6,The product shall record meeting entries.,F
370,6,The product will notify employees of meeting invitations.,F
371,6,The product shall have the ability to send meeting reminders to employees.,F
372,6,The product shall assign the organizers contact information to each meeting they create.,F
373,6,The product will record meeting acknowledgements.,F
374,6,The product shall store new conference rooms.,F
375,6,The product shall update existing conference rooms.,F
376,6,The product will be able to delete conference rooms.,F
377,6,The product shall be able to store new room equipment.,F
378,6,The product will update existing room equipment.,F
379,6,The product shall be able to delete room equipment.,F
380,6,The product shall allow an organizer to invite other employees to meetings.,F
381,6, Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation.,F
382,6,The product shall record the transportation status of equipment reserved.,F
